"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4058","test_set_int_range","hil.zephyr.frdm_rw612","Fri Sep 26 20:12:32 GMT 2025","passed","Fri Sep 26 20:12:36 GMT 2025","","test_settings","",""
"","13825","test_lightdb_delete","sample.zephyr.frdm_rw612","Fri Sep 26 19:47:47 GMT 2025","passed","Fri Sep 26 19:48:01 GMT 2025","","test_sample","",""
"","12126","test_set_int_range_out_max","hil.zephyr.nrf52840dk","Fri Sep 26 19:04:52 GMT 2025","passed","Fri Sep 26 19:05:05 GMT 2025","","test_settings","",""
"","373409","test_fw_update","sample.esp-idf.esp32c3_devkitm_espidf","Fri Sep 26 19:28:31 GMT 2025","passed","Fri Sep 26 19:34:44 GMT 2025","","test_sample","",""
"","1802","test_set_float","hil.linux.linux","Fri Sep 26 19:00:23 GMT 2025","passed","Fri Sep 26 19:00:25 GMT 2025","","test_settings","",""
"","123","test_wrong_type","hil.zephyr.native_sim_32","Fri Sep 26 19:02:08 GMT 2025","passed","Fri Sep 26 19:02:08 GMT 2025","","test_settings","",""
"","10862","test_lightdb_observed","hil.zephyr.nrf52840dk","Fri Sep 26 20:05:03 GMT 2025","passed","Fri Sep 26 20:05:14 GMT 2025","","test_lightdb","",""
"","17196","test_certificate_auth","sample.esp-idf.esp32s3_devkitc_espidf","Fri Sep 26 19:38:05 GMT 2025","passed","Fri Sep 26 19:38:22 GMT 2025","","test_sample","",""
"","12203","test_set_int_range_out_max","hil.esp-idf.esp32c3_devkitm_espidf","Fri Sep 26 19:23:42 GMT 2025","passed","Fri Sep 26 19:23:54 GMT 2025","","test_settings","",""
"","89713","test_connect","hil.zephyr.native_sim_64","Fri Sep 26 19:01:19 GMT 2025","passed","Fri Sep 26 19:02:49 GMT 2025","","test_connection","",""
"","500","test_float_return","hil.zephyr.native_sim_32","Fri Sep 26 19:01:07 GMT 2025","passed","Fri Sep 26 19:01:08 GMT 2025","","test_rpc","",""
"","1192","test_string_return","hil.zephyr.rak5010","Fri Sep 26 20:01:49 GMT 2025","passed","Fri Sep 26 20:01:50 GMT 2025","","test_rpc","",""
"","805","test_no_args","hil.zephyr.frdm_rw612","Fri Sep 26 19:08:14 GMT 2025","passed","Fri Sep 26 19:08:15 GMT 2025","","test_rpc","",""
"","11501","test_int_too_large","hil.linux.linux","Fri Sep 26 18:59:30 GMT 2025","passed","Fri Sep 26 18:59:42 GMT 2025","","test_settings","",""
"","413","test_multi_block_upload","hil.zephyr.nrf52840dk","Fri Sep 26 19:02:06 GMT 2025","passed","Fri Sep 26 19:02:07 GMT 2025","","test_stream","",""
"","249","test_many_args","hil.linux.linux","Fri Sep 26 18:59:25 GMT 2025","passed","Fri Sep 26 18:59:25 GMT 2025","","test_rpc","",""
"","6149","test_block_upload","hil.zephyr.native_sim_64","Fri Sep 26 19:01:09 GMT 2025","passed","Fri Sep 26 19:01:15 GMT 2025","","test_stream","",""
"","20300","test_logging","sample.zephyr.nrf9160dk","Fri Sep 26 19:53:38 GMT 2025","passed","Fri Sep 26 19:53:59 GMT 2025","","test_sample","",""
"","26222","test_observation_repeat_restart","hil.zephyr.nrf52840dk","Fri Sep 26 19:58:51 GMT 2025","broken","Fri Sep 26 19:59:18 GMT 2025","","test_rpc","",""
"","12172","test_int_too_small","hil.zephyr.nrf52840dk","Fri Sep 26 19:04:17 GMT 2025","passed","Fri Sep 26 19:04:29 GMT 2025","","test_settings","",""
"","23944","test_observation_cancel_all","hil.zephyr.nrf52840dk","Fri Sep 26 19:59:19 GMT 2025","passed","Fri Sep 26 19:59:43 GMT 2025","","test_rpc","",""
"","305","test_unrecognized_key","hil.zephyr.native_sim_64","Fri Sep 26 19:02:10 GMT 2025","passed","Fri Sep 26 19:02:10 GMT 2025","","test_settings","",""
"","3567","test_set_int_range_max","hil.zephyr.nrf52840dk","Fri Sep 26 19:04:37 GMT 2025","passed","Fri Sep 26 19:04:40 GMT 2025","","test_settings","",""
"","761","test_lightdb_deleted","hil.linux.linux","Fri Sep 26 18:59:31 GMT 2025","passed","Fri Sep 26 18:59:32 GMT 2025","","test_lightdb","",""
"","10134","test_lightdb_observe","sample.esp-idf.esp32s3_devkitc_espidf","Fri Sep 26 19:41:11 GMT 2025","passed","Fri Sep 26 19:41:21 GMT 2025","","test_sample","",""
"","12373","test_lightdb_observed","hil.esp-idf.esp32c3_devkitm_espidf","Fri Sep 26 19:18:09 GMT 2025","passed","Fri Sep 26 19:18:21 GMT 2025","","test_lightdb","",""
"","3128","test_manifest","hil.zephyr.nrf9160dk","Fri Sep 26 20:13:47 GMT 2025","passed","Fri Sep 26 20:13:51 GMT 2025","","test_ota","",""
"","784","test_no_args","hil.zephyr.nrf52840dk","Fri Sep 26 19:58:38 GMT 2025","passed","Fri Sep 26 19:58:39 GMT 2025","","test_rpc","",""
"","11450","test_int_too_large","hil.zephyr.native_sim_64","Fri Sep 26 19:01:05 GMT 2025","passed","Fri Sep 26 19:01:16 GMT 2025","","test_settings","",""
"","89860","test_connect","hil.zephyr.native_sim_32","Fri Sep 26 19:00:54 GMT 2025","passed","Fri Sep 26 19:02:24 GMT 2025","","test_connection","",""
"","0","test_lightdb_set","sample.zephyr.nrf52840dk","Fri Sep 26 19:32:50 GMT 2025","broken","Fri Sep 26 19:32:50 GMT 2025","","test_sample","",""
"","5385","test_malformed_response","hil.esp-idf.esp32s3_devkitc_espidf","Fri Sep 26 19:09:48 GMT 2025","passed","Fri Sep 26 19:09:53 GMT 2025","","test_rpc","",""
"","1220","test_float_return","hil.esp-idf.esp32c3_devkitm_espidf","Fri Sep 26 19:21:28 GMT 2025","passed","Fri Sep 26 19:21:29 GMT 2025","","test_rpc","",""
"","3469","test_set_float_whole","hil.zephyr.frdm_rw612","Fri Sep 26 20:13:15 GMT 2025","passed","Fri Sep 26 20:13:19 GMT 2025","","test_settings","",""
"","23778","test_lightdb_set","sample.zephyr.nrf9160dk","Fri Sep 26 19:54:31 GMT 2025","passed","Fri Sep 26 19:54:55 GMT 2025","","test_sample","",""
"","19299","test_observation_cancel_all","hil.zephyr.frdm_rw612","Fri Sep 26 19:09:01 GMT 2025","passed","Fri Sep 26 19:09:20 GMT 2025","","test_rpc","",""
"","0","test_lightdb_observe","sample.zephyr.nrf52840dk","Fri Sep 26 19:30:56 GMT 2025","broken","Fri Sep 26 19:30:56 GMT 2025","","test_sample","",""
"","0","test_rpc","sample.zephyr.nrf52840dk","Fri Sep 26 19:31:53 GMT 2025","broken","Fri Sep 26 19:31:53 GMT 2025","","test_sample","",""
"","0","test_cert_provisioning","sample.zephyr.nrf52840dk","Fri Sep 26 19:31:35 GMT 2025","failed","Fri Sep 26 19:31:35 GMT 2025","","test_sample","",""
"","5220","test_malformed_response","hil.linux.linux","Fri Sep 26 18:59:27 GMT 2025","passed","Fri Sep 26 18:59:32 GMT 2025","","test_rpc","",""
"","339","test_lightdb_invalid","hil.esp-idf.esp32c3_devkitm_espidf","Fri Sep 26 19:18:08 GMT 2025","passed","Fri Sep 26 19:18:09 GMT 2025","","test_lightdb","",""
"","6869","test_rpc","sample.zephyr.native_sim_32","Fri Sep 26 19:05:36 GMT 2025","passed","Fri Sep 26 19:05:43 GMT 2025","","test_sample","",""
"","297","test_int_return","hil.zephyr.native_sim_32","Fri Sep 26 19:01:06 GMT 2025","passed","Fri Sep 26 19:01:07 GMT 2025","","test_rpc","",""
"","27009","test_restart","hil.zephyr.native_sim_32","Fri Sep 26 19:02:37 GMT 2025","passed","Fri Sep 26 19:03:05 GMT 2025","","test_settings","",""
"","4988","test_lightdb_reported","hil.esp-idf.esp32c3_devkitm_espidf","Fri Sep 26 19:18:00 GMT 2025","passed","Fri Sep 26 19:18:05 GMT 2025","","test_lightdb","",""
"","16877","test_cert_provisioning","sample.zephyr.native_sim_32","Fri Sep 26 19:04:13 GMT 2025","passed","Fri Sep 26 19:04:30 GMT 2025","","test_sample","",""
