"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","589","test_object_return","hil.linux.linux","2026-08-21","passed","2026-08-21","","test_rpc","",""
"","11847","test_int_too_small","hil.zephyr.nrf52840dk","2026-08-21","passed","2026-08-21","","test_settings","",""
"","0","test_settings","sample.zephyr.frdm_rw612","2026-08-21","broken","2026-08-21","","settings","",""
"","13221","test_resume","hil.zephyr.nrf9160dk","2026-08-21","passed","2026-08-21","","test_ota","",""
"","6418","test_block_upload","hil.zephyr.esp32s3_devkitc","2026-08-21","passed","2026-08-21","","test_stream","",""
"","507","test_string_return","hil.zephyr.native_sim_64","2026-08-21","passed","2026-08-21","","test_rpc","",""
"","1274","test_lightdb_deleted","hil.zephyr.frdm_rw612","2026-08-21","passed","2026-08-21","","test_lightdb","",""
"","22502","test_stream","sample.zephyr.native_sim_32","2026-08-21","passed","2026-08-21","","stream","",""
"","2429","test_set_int","hil.esp-idf.esp32s3_devkitc_espidf","2026-08-21","passed","2026-08-21","","test_settings","",""
"","5166","test_malformed_response","hil.linux.linux","2026-08-21","passed","2026-08-21","","test_rpc","",""
"","7713","test_set_float_whole","hil.zephyr.nrf9160dk","2026-08-21","passed","2026-08-21","","test_settings","",""
"","112535","test_hello","sample.zephyr.frdm_rw612","2026-08-21","broken","2026-08-21","","hello.psa_crypto","",""
"","22659","test_hello","sample.zephyr.native_sim_64","2026-08-21","passed","2026-08-21","","hello.psa_crypto","",""
"","324","test_multi_block_upload","hil.linux.linux","2026-08-21","passed","2026-08-21","","test_stream","",""
"","25900","test_hello","sample.zephyr.nrf9160dk","2026-08-21","passed","2026-08-21","","hello.cid","",""
"","688","test_bool_return","hil.zephyr.esp32s3_devkitc","2026-08-21","passed","2026-08-21","","test_rpc","",""
"","16764","test_cert_provisioning","sample.zephyr.native_sim_64","2026-08-21","passed","2026-08-21","","certificate_provisioning.psa_crypto","",""
"","534","test_not_registered","hil.zephyr.frdm_rw612","2026-08-21","passed","2026-08-21","","test_rpc","",""
