"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 26 01:00:46 GMT 2024","Sat Oct 26 01:02:39 GMT 2024","112794","sample.zephyr.mimxrt1024_evk","test_sample","","","","test_hello",""
"passed","Sat Oct 26 00:36:40 GMT 2024","Sat Oct 26 00:36:43 GMT 2024","3431","hil.esp-idf.esp32c3_devkitm_espidf","test_settings","","","","test_set_float",""
"passed","Sat Oct 26 01:11:54 GMT 2024","Sat Oct 26 01:12:01 GMT 2024","6424","sample.esp-idf.esp32_devkitc_wrover_espidf","test_sample","","","","test_rpc",""
"passed","Sat Oct 26 00:34:22 GMT 2024","Sat Oct 26 00:34:24 GMT 2024","1219","hil.esp-idf.esp32_devkitc_wrover_espidf","test_rpc","","","","test_no_args",""
"passed","Sat Oct 26 00:24:46 GMT 2024","Sat Oct 26 00:24:47 GMT 2024","349","hil.linux.linux","test_rpc","","","","test_invalid_arg",""
"broken","Sat Oct 26 00:52:27 GMT 2024","Sat Oct 26 00:52:27 GMT 2024","0","hil.zephyr.nrf9160dk","test_stream","","","","test_block_upload",""
"passed","Sat Oct 26 00:47:41 GMT 2024","Sat Oct 26 00:47:46 GMT 2024","5445","hil.zephyr.rak5010","test_rpc","","","","test_malformed_response",""
"passed","Sat Oct 26 00:38:21 GMT 2024","Sat Oct 26 00:38:49 GMT 2024","28519","hil.esp-idf.esp32_devkitc_wrover_espidf","test_settings","","","","test_restart",""
"passed","Sat Oct 26 00:29:46 GMT 2024","Sat Oct 26 00:29:52 GMT 2024","6349","hil.esp-idf.esp32c3_devkitm_espidf","test_lightdb","","","","test_lightdb_reported",""
"passed","Sat Oct 26 00:49:58 GMT 2024","Sat Oct 26 00:50:03 GMT 2024","5149","hil.zephyr.rak5010","test_settings","","","","test_set_int_range_max",""
"passed","Sat Oct 26 00:47:06 GMT 2024","Sat Oct 26 00:47:18 GMT 2024","12690","hil.zephyr.mimxrt1024_evk","test_settings","","","","test_int_too_small",""
"passed","Sat Oct 26 00:36:23 GMT 2024","Sat Oct 26 00:36:37 GMT 2024","13207","hil.zephyr.nrf52840dk","test_settings","","","","test_int_too_large",""
"passed","Sat Oct 26 00:33:32 GMT 2024","Sat Oct 26 00:33:33 GMT 2024","1467","hil.esp-idf.esp32c3_devkitm_espidf","test_rpc","","","","test_no_args",""
"passed","Sat Oct 26 00:33:40 GMT 2024","Sat Oct 26 00:33:42 GMT 2024","1501","hil.esp-idf.esp32c3_devkitm_espidf","test_rpc","","","","test_bool_return",""
"passed","Sat Oct 26 00:24:38 GMT 2024","Sat Oct 26 00:24:39 GMT 2024","499","hil.linux.linux","test_rpc","","","","test_many_args",""
"broken","Sat Oct 26 00:49:26 GMT 2024","Sat Oct 26 00:49:26 GMT 2024","0","hil.zephyr.esp32_devkitc_wrover","test_settings","","","","test_wrong_type",""
"broken","Sat Oct 26 00:48:45 GMT 2024","Sat Oct 26 00:49:23 GMT 2024","37794","hil.zephyr.mimxrt1024_evk","test_settings","","","","test_restart",""
"passed","Sat Oct 26 00:25:34 GMT 2024","Sat Oct 26 00:25:35 GMT 2024","1971","hil.linux.linux","test_settings","","","","test_set_bool",""
"passed","Sat Oct 26 00:40:54 GMT 2024","Sat Oct 26 00:41:16 GMT 2024","22549","sample.esp-idf.esp32c3_devkitm_espidf","test_sample","","","","test_lightdb_set",""
"passed","Sat Oct 26 00:25:58 GMT 2024","Sat Oct 26 00:26:05 GMT 2024","6861","sample.zephyr.native_sim_64","test_sample","","","","test_rpc",""
"passed","Sat Oct 26 00:45:16 GMT 2024","Sat Oct 26 00:45:17 GMT 2024","738","hil.zephyr.mimxrt1024_evk","test_rpc","","","","test_string_return",""
"broken","Sat Oct 26 00:45:31 GMT 2024","Sat Oct 26 00:45:31 GMT 2024","0","hil.zephyr.nrf9160dk","test_lightdb","","","","test_lightdb_invalid",""
"passed","Sat Oct 26 00:35:48 GMT 2024","Sat Oct 26 00:36:01 GMT 2024","12563","hil.esp-idf.esp32c3_devkitm_espidf","test_settings","","","","test_int_too_small",""
"passed","Sat Oct 26 01:15:58 GMT 2024","Sat Oct 26 01:16:19 GMT 2024","21115","sample.esp-idf.esp32_devkitc_wrover_espidf","test_sample","","","","test_stream",""
"passed","Sat Oct 26 00:50:16 GMT 2024","Sat Oct 26 00:50:28 GMT 2024","12427","hil.zephyr.rak5010","test_settings","","","","test_set_int_range_out_max",""
"passed","Sat Oct 26 00:37:38 GMT 2024","Sat Oct 26 00:37:42 GMT 2024","3639","hil.esp-idf.esp32_devkitc_wrover_espidf","test_settings","","","","test_set_float",""
"passed","Sat Oct 26 00:37:07 GMT 2024","Sat Oct 26 00:37:10 GMT 2024","3365","hil.esp-idf.esp32_devkitc_wrover_espidf","test_settings","","","","test_set_int_range_max",""
"passed","Sat Oct 26 00:45:51 GMT 2024","Sat Oct 26 00:46:11 GMT 2024","19169","hil.zephyr.mimxrt1024_evk","test_rpc","","","","test_observation_cancel_all",""
"passed","Sat Oct 26 00:33:32 GMT 2024","Sat Oct 26 00:33:35 GMT 2024","3229","hil.esp-idf.esp32s3_devkitc_espidf","test_rpc","","","","test_float_return",""
"passed","Sat Oct 26 00:26:43 GMT 2024","Sat Oct 26 00:27:10 GMT 2024","27448","hil.zephyr.native_sim_32","test_settings","","","","test_restart",""
"passed","Sat Oct 26 00:24:59 GMT 2024","Sat Oct 26 00:25:07 GMT 2024","7714","hil.linux.linux","test_stream","","","","test_block_upload",""
"passed","Sat Oct 26 00:35:09 GMT 2024","Sat Oct 26 00:35:27 GMT 2024","18754","hil.esp-idf.esp32_devkitc_wrover_espidf","test_rpc","","","","test_observation_cancel_all",""
"passed","Sat Oct 26 00:25:05 GMT 2024","Sat Oct 26 00:25:21 GMT 2024","16561","hil.linux.linux","test_rpc","","","","test_observation_cancel_all",""
"passed","Sat Oct 26 00:36:46 GMT 2024","Sat Oct 26 00:36:49 GMT 2024","3279","hil.esp-idf.esp32c3_devkitm_espidf","test_settings","","","","test_set_string",""
"broken","Sat Oct 26 00:49:19 GMT 2024","Sat Oct 26 00:49:19 GMT 2024","0","hil.zephyr.esp32_devkitc_wrover","test_settings","","","","test_int_too_large",""
"passed","Sat Oct 26 00:25:53 GMT 2024","Sat Oct 26 00:26:12 GMT 2024","18628","hil.zephyr.native_sim_64","test_rpc","","","","test_observation_cancel_all",""
"passed","Sat Oct 26 00:57:38 GMT 2024","Sat Oct 26 00:57:54 GMT 2024","16271","sample.zephyr.mimxrt1024_evk","test_sample","","","","test_lightdb_delete",""
"passed","Sat Oct 26 00:33:22 GMT 2024","Sat Oct 26 00:33:23 GMT 2024","1479","hil.esp-idf.esp32s3_devkitc_espidf","test_rpc","","","","test_no_args",""
"passed","Sat Oct 26 00:59:58 GMT 2024","Sat Oct 26 01:00:26 GMT 2024","27788","sample.zephyr.nrf52840dk","test_sample","","","","test_lightdb_get",""
"passed","Sat Oct 26 01:03:16 GMT 2024","Sat Oct 26 01:03:56 GMT 2024","39542","sample.zephyr.rak5010","test_sample","","","","test_lightdb_observe",""
