"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 06 04:08:23 GMT 2025","Mon Jan 06 04:08:24 GMT 2025","1318","hil.zephyr.native_sim_32","test_rpc","","","","test_one_arg",""
"passed","Mon Jan 06 04:09:23 GMT 2025","Mon Jan 06 04:09:35 GMT 2025","11622","hil.zephyr.native_sim_64","test_settings","","","","test_set_int_range_out_max",""
"passed","Mon Jan 06 04:11:10 GMT 2025","Mon Jan 06 04:11:31 GMT 2025","20770","sample.zephyr.native_sim_64","test_sample","","","","test_stream",""
"passed","Mon Jan 06 04:07:05 GMT 2025","Mon Jan 06 04:07:07 GMT 2025","1824","hil.linux.linux","test_settings","","","","test_set_int_range",""
"passed","Mon Jan 06 04:09:41 GMT 2025","Mon Jan 06 04:09:44 GMT 2025","2953","hil.zephyr.native_sim_32","test_settings","","","","test_set_float_whole",""
"passed","Mon Jan 06 04:06:54 GMT 2025","Mon Jan 06 04:07:05 GMT 2025","11572","hil.linux.linux","test_settings","","","","test_int_too_small",""
"passed","Mon Jan 06 04:08:40 GMT 2025","Mon Jan 06 04:08:45 GMT 2025","5487","hil.zephyr.native_sim_32","test_ota","","","","test_resume",""
"passed","Mon Jan 06 04:08:37 GMT 2025","Mon Jan 06 04:08:37 GMT 2025","199","hil.zephyr.native_sim_64","test_rpc","","","","test_invalid_arg",""
"passed","Mon Jan 06 04:08:52 GMT 2025","Mon Jan 06 04:08:52 GMT 2025","498","hil.zephyr.native_sim_64","test_ota","","","","test_manifest",""
"passed","Mon Jan 06 04:08:43 GMT 2025","Mon Jan 06 04:08:51 GMT 2025","7209","hil.zephyr.native_sim_32","test_lightdb","","","","test_lightdb_observed",""
"passed","Mon Jan 06 04:09:09 GMT 2025","Mon Jan 06 04:09:12 GMT 2025","2767","hil.zephyr.native_sim_32","test_settings","","","","test_set_int_range_max",""
"passed","Mon Jan 06 04:13:31 GMT 2025","Mon Jan 06 04:13:47 GMT 2025","16727","sample.zephyr.native_sim_64","test_sample","","","","test_cert_provisioning",""
"passed","Mon Jan 06 04:09:09 GMT 2025","Mon Jan 06 04:09:11 GMT 2025","2744","hil.zephyr.native_sim_64","test_settings","","","","test_set_int_range_max",""
"passed","Mon Jan 06 04:09:38 GMT 2025","Mon Jan 06 04:09:41 GMT 2025","3012","hil.zephyr.native_sim_64","test_settings","","","","test_set_float",""
"passed","Mon Jan 06 04:07:11 GMT 2025","Mon Jan 06 04:07:22 GMT 2025","11482","hil.linux.linux","test_settings","","","","test_set_int_range_out_min",""
"passed","Mon Jan 06 04:06:44 GMT 2025","Mon Jan 06 04:06:44 GMT 2025","501","hil.linux.linux","test_rpc","","","","test_string_return",""
"passed","Mon Jan 06 04:08:51 GMT 2025","Mon Jan 06 04:09:03 GMT 2025","11639","hil.zephyr.native_sim_64","test_settings","","","","test_int_too_small",""
"passed","Mon Jan 06 04:08:22 GMT 2025","Mon Jan 06 04:08:22 GMT 2025","401","hil.zephyr.native_sim_32","test_rpc","","","","test_not_registered",""
"passed","Mon Jan 06 04:06:43 GMT 2025","Mon Jan 06 04:06:43 GMT 2025","291","hil.linux.linux","test_ota","","","","test_manifest",""
"passed","Mon Jan 06 04:08:39 GMT 2025","Mon Jan 06 04:08:51 GMT 2025","11632","hil.zephyr.native_sim_64","test_settings","","","","test_int_too_large",""
"passed","Mon Jan 06 04:09:38 GMT 2025","Mon Jan 06 04:09:41 GMT 2025","3008","hil.zephyr.native_sim_32","test_settings","","","","test_set_float",""
"passed","Mon Jan 06 04:07:01 GMT 2025","Mon Jan 06 04:07:01 GMT 2025","140","hil.linux.linux","test_lightdb","","","","test_lightdb_invalid",""
"passed","Mon Jan 06 04:08:41 GMT 2025","Mon Jan 06 04:08:43 GMT 2025","2061","hil.zephyr.native_sim_32","test_lightdb","","","","test_lightdb_deleted",""
"passed","Mon Jan 06 04:13:07 GMT 2025","Mon Jan 06 04:13:13 GMT 2025","5857","sample.zephyr.native_sim_32","test_sample","","","","test_settings",""
"passed","Mon Jan 06 04:09:11 GMT 2025","Mon Jan 06 04:09:23 GMT 2025","11630","hil.zephyr.native_sim_64","test_settings","","","","test_set_int_range_out_min",""
"passed","Mon Jan 06 04:08:27 GMT 2025","Mon Jan 06 04:08:27 GMT 2025","494","hil.zephyr.native_sim_32","test_rpc","","","","test_object_return",""
"passed","Mon Jan 06 04:12:02 GMT 2025","Mon Jan 06 04:12:15 GMT 2025","12365","sample.zephyr.native_sim_32","test_sample","","","","test_lightdb_delete",""
"passed","Mon Jan 06 04:10:17 GMT 2025","Mon Jan 06 04:10:45 GMT 2025","27888","hil.zephyr.native_sim_32","test_settings","","","","test_restart",""
"passed","Mon Jan 06 04:07:01 GMT 2025","Mon Jan 06 04:07:08 GMT 2025","6294","hil.linux.linux","test_lightdb","","","","test_lightdb_observed",""
"passed","Mon Jan 06 04:09:41 GMT 2025","Mon Jan 06 04:09:43 GMT 2025","2805","hil.zephyr.native_sim_64","test_settings","","","","test_set_float_whole",""
"passed","Mon Jan 06 04:08:31 GMT 2025","Mon Jan 06 04:08:31 GMT 2025","246","hil.zephyr.native_sim_64","test_rpc","","","","test_float_return",""
"passed","Mon Jan 06 04:06:44 GMT 2025","Mon Jan 06 04:06:44 GMT 2025","288","hil.linux.linux","test_ota","","","","test_multiple_artifacts",""
"passed","Mon Jan 06 04:08:32 GMT 2025","Mon Jan 06 04:08:32 GMT 2025","87","hil.zephyr.native_sim_64","test_lightdb","","","","test_lightdb_invalid",""
"passed","Mon Jan 06 04:07:09 GMT 2025","Mon Jan 06 04:07:11 GMT 2025","1765","hil.linux.linux","test_settings","","","","test_set_int_range_max",""
"passed","Mon Jan 06 04:06:51 GMT 2025","Mon Jan 06 04:06:52 GMT 2025","517","hil.linux.linux","test_rpc","","","","test_invalid_arg",""
"passed","Mon Jan 06 04:08:38 GMT 2025","Mon Jan 06 04:08:39 GMT 2025","1598","hil.zephyr.native_sim_32","test_ota","","","","test_block_operations",""
"passed","Mon Jan 06 04:07:07 GMT 2025","Mon Jan 06 04:07:09 GMT 2025","2013","hil.linux.linux","test_settings","","","","test_set_int_range_min",""
"passed","Mon Jan 06 04:08:46 GMT 2025","Mon Jan 06 04:09:33 GMT 2025","47242","hil.zephyr.native_sim_32","test_ota","","","","test_reason_and_state",""
"passed","Mon Jan 06 04:12:00 GMT 2025","Mon Jan 06 04:12:25 GMT 2025","25410","sample.zephyr.native_sim_64","test_sample","","","","test_lightdb_get",""
"passed","Mon Jan 06 04:06:45 GMT 2025","Mon Jan 06 04:06:45 GMT 2025","501","hil.linux.linux","test_rpc","","","","test_bool_return",""
"passed","Mon Jan 06 04:07:34 GMT 2025","Mon Jan 06 04:07:36 GMT 2025","2013","hil.linux.linux","test_settings","","","","test_set_bool",""
"passed","Mon Jan 06 04:06:41 GMT 2025","Mon Jan 06 04:06:42 GMT 2025","448","hil.linux.linux","test_rpc","","","","test_not_registered",""
"passed","Mon Jan 06 04:07:41 GMT 2025","Mon Jan 06 04:07:41 GMT 2025","149","hil.linux.linux","test_settings","","","","test_wrong_type",""
"passed","Mon Jan 06 04:07:22 GMT 2025","Mon Jan 06 04:07:34 GMT 2025","11456","hil.linux.linux","test_settings","","","","test_set_int_range_out_max",""
"passed","Mon Jan 06 04:11:28 GMT 2025","Mon Jan 06 04:11:53 GMT 2025","25156","sample.zephyr.native_sim_32","test_sample","","","","test_lightdb_get",""
"passed","Mon Jan 06 04:06:43 GMT 2025","Mon Jan 06 04:06:44 GMT 2025","497","hil.linux.linux","test_rpc","","","","test_int_return",""
"passed","Mon Jan 06 04:09:35 GMT 2025","Mon Jan 06 04:09:38 GMT 2025","3028","hil.zephyr.native_sim_64","test_settings","","","","test_set_bool",""
"passed","Mon Jan 06 04:08:28 GMT 2025","Mon Jan 06 04:08:29 GMT 2025","1098","hil.zephyr.native_sim_64","test_rpc","","","","test_one_arg",""
"passed","Mon Jan 06 04:09:46 GMT 2025","Mon Jan 06 04:09:47 GMT 2025","251","hil.zephyr.native_sim_64","test_settings","","","","test_unrecognized_key",""
"passed","Mon Jan 06 04:09:30 GMT 2025","Mon Jan 06 04:09:47 GMT 2025","16736","sample.zephyr.native_sim_64","test_sample","","","","test_logging",""
"passed","Mon Jan 06 04:06:42 GMT 2025","Mon Jan 06 04:06:43 GMT 2025","500","hil.linux.linux","test_rpc","","","","test_one_arg",""
"passed","Mon Jan 06 04:12:50 GMT 2025","Mon Jan 06 04:12:56 GMT 2025","5984","sample.zephyr.native_sim_64","test_sample","","","","test_lightdb_observe",""
"passed","Mon Jan 06 04:08:32 GMT 2025","Mon Jan 06 04:08:37 GMT 2025","5064","hil.zephyr.native_sim_64","test_rpc","","","","test_malformed_response",""
