"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5737","test_settings","sample.zephyr.native_sim_64","Sun Apr 12 05:03:24 UTC 2026","passed","Sun Apr 12 05:03:30 UTC 2026","","settings","",""
"","16293","test_cert_provisioning","sample.zephyr.native_sim_64","Sun Apr 12 05:03:48 UTC 2026","passed","Sun Apr 12 05:04:04 UTC 2026","","certificate_provisioning","",""
"","16264","test_cert_provisioning","sample.zephyr.native_sim_64","Sun Apr 12 05:03:48 UTC 2026","passed","Sun Apr 12 05:04:04 UTC 2026","","certificate_provisioning.psa_crypto","",""
"","193","test_unrecognized_key","hil.zephyr.native_sim_64","Sun Apr 12 05:04:07 UTC 2026","passed","Sun Apr 12 05:04:07 UTC 2026","","test_settings","",""
"","2535","test_set_string","hil.zephyr.native_sim_32","Sun Apr 12 05:03:58 UTC 2026","passed","Sun Apr 12 05:04:01 UTC 2026","","test_settings","",""
"","2519","test_set_float_whole","hil.zephyr.native_sim_32","Sun Apr 12 05:03:56 UTC 2026","passed","Sun Apr 12 05:03:58 UTC 2026","","test_settings","",""
"","17226","test_location","sample.zephyr.native_sim_64","Sun Apr 12 05:04:54 UTC 2026","passed","Sun Apr 12 05:05:11 UTC 2026","","location.playback.cellular","",""
"","82085","test_hello","sample.zephyr.native_sim_32","Sun Apr 12 05:04:28 UTC 2026","failed","Sun Apr 12 05:05:50 UTC 2026","","hello.cid","",""
"","172","test_multi_block_upload","hil.zephyr.native_sim_32","Sun Apr 12 05:03:04 UTC 2026","passed","Sun Apr 12 05:03:04 UTC 2026","","test_stream","",""
"","11594","test_set_int_range_out_min","hil.zephyr.native_sim_64","Sun Apr 12 05:03:32 UTC 2026","passed","Sun Apr 12 05:03:43 UTC 2026","","test_settings","",""
"","463","test_invalid_arg","hil.zephyr.native_sim_32","Sun Apr 12 05:02:54 UTC 2026","passed","Sun Apr 12 05:02:55 UTC 2026","","test_rpc","",""
"","71353","test_reason_and_state","hil.linux.linux","Sun Apr 12 05:01:06 UTC 2026","failed","Sun Apr 12 05:02:17 UTC 2026","","test_ota","",""
"","11596","test_int_too_small","hil.zephyr.native_sim_64","Sun Apr 12 05:03:12 UTC 2026","passed","Sun Apr 12 05:03:23 UTC 2026","","test_settings","",""
"","2661","test_set_int_range_min","hil.zephyr.native_sim_32","Sun Apr 12 05:03:23 UTC 2026","passed","Sun Apr 12 05:03:26 UTC 2026","","test_settings","",""
"","77105","test_logging","sample.zephyr.native_sim_64","Sun Apr 12 05:03:15 UTC 2026","failed","Sun Apr 12 05:04:32 UTC 2026","","logging","",""
"","1459","test_set_float","hil.linux.linux","Sun Apr 12 05:02:11 UTC 2026","passed","Sun Apr 12 05:02:12 UTC 2026","","test_settings","",""
"","1129","test_many_args","hil.zephyr.native_sim_64","Sun Apr 12 05:02:49 UTC 2026","passed","Sun Apr 12 05:02:50 UTC 2026","","test_rpc","",""
"","22585","test_observation_repeat_restart","hil.zephyr.native_sim_32","Sun Apr 12 05:02:55 UTC 2026","passed","Sun Apr 12 05:03:17 UTC 2026","","test_rpc","",""
